job_id,model,condition,job_status,fps,max_frames,total_tokens,max_new_tokens,prompt,trial,query_id,query,spans,variant,repeat,status,parse_status,span_count,invalid_span_count,wall_s,preprocess_s,generate_s,decode_parse_s,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hit_output_limit,incomplete_output,legacy_span_count,legacy_discards_spans,error
timelens2-4b__A_fps05_tokens32768,timelens2-4b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,1,shot,A player attempts a shot at the basket.,"[[1.0, 13.0], [17.0, 20.0], [24.0, 26.0], [32.0, 36.0], [73.0, 77.0], [125.0, 129.0], [138.0, 141.0], [147.0, 155.0], [178.0, 183.0], [195.0, 199.0]]",0,0,ok,json,10,0,34.63112162100151,17.268605732824653,17.361324689816684,0.00116318603977561,16.425009727478027,18.095703125,32254,130,False,False,10,False,
timelens2-4b__A_fps05_tokens32768,timelens2-4b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,2,dark_shot,A player wearing a dark jersey attempts a shot at the basket.,"[[7.0, 13.0], [17.0, 20.0], [24.0, 26.0], [32.0, 36.0], [73.0, 77.0], [125.0, 129.0], [138.0, 142.0], [178.0, 183.0]]",0,0,ok,json,8,0,31.287435457110405,16.4156960491091,14.87126648798585,0.0004506339319050312,16.42585802078247,18.09765625,32258,102,False,False,8,False,
timelens2-4b__A_fps05_tokens32768,timelens2-4b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,3,bench,Players on the bench celebrate.,"[[60.0, 64.0], [134.0, 138.0], [159.0, 163.0], [211.0, 216.0]]",0,0,ok,json,4,0,27.00460342783481,14.87986005563289,12.12422356614843,0.0004958892241120338,16.424376487731934,18.09765625,32251,55,False,False,4,False,
timelens2-4b__A_fps05_tokens32768,timelens2-4b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,4,closeup,The camera shows a close-up of a player's face.,"[[40.0, 44.0], [48.0, 50.0]]",0,0,ok,json,2,0,26.098160558845848,15.62540031177923,10.472414685413241,0.0003371839411556721,16.425647258758545,18.09765625,32257,25,False,False,2,False,
timelens2-4b__A_fps05_tokens32768,timelens2-4b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,5,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,24.56140103796497,15.380523649975657,9.180070479866117,0.000783868134021759,16.42522144317627,18.09765625,32255,2,False,False,0,False,
timelens-8b__A_fps05_tokens32768,timelens-8b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,1,shot,A player attempts a shot at the basket.,"[[1.0, 5.0], [8.0, 13.0], [15.0, 20.0], [24.0, 32.0], [33.0, 36.0], [54.0, 61.0], [65.0, 70.0], [73.0, 77.0], [81.0, 85.0], [89.0, 93.0], [96.0, 102.0], [105.0, 114.0], [118.0, 126.0], [129.0, 134.0], [138.0, 142.0], [146.0, 150.0], [154.0, 159.0], [163.0, 170.0], [173.0, 183.0], [187.0, 192.0], [195.0, 200.0], [204.0, 208.0]]",0,0,ok,json,22,0,51.45856292499229,18.0915100350976,33.365602237172425,0.0014229537919163704,25.675509452819824,28.244140625,32254,309,False,False,0,True,
timelens-8b__A_fps05_tokens32768,timelens-8b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,2,dark_shot,A player wearing a dark jersey attempts a shot at the basket.,"[[7.0, 12.0], [15.0, 17.0], [28.0, 32.0], [73.0, 77.0], [125.0, 130.0], [138.0, 142.0], [147.0, 150.0], [155.0, 159.0], [163.0, 167.0], [170.0, 175.0], [180.0, 184.0], [187.0, 191.0], [195.0, 199.0], [204.0, 208.0]]",0,0,ok,json,14,0,41.87529606278986,15.998407392762601,25.876328040845692,0.0005396651104092598,25.676992893218994,28.244140625,32258,204,False,False,0,True,
timelens-8b__A_fps05_tokens32768,timelens-8b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,3,bench,Players on the bench celebrate.,"[[61.0, 65.0], [134.0, 138.0], [159.0, 163.0], [208.0, 216.0]]",0,0,ok,json,4,0,31.827915023081005,15.457551477942616,16.369879646226764,0.0004644356667995453,25.674821853637695,28.244140625,32251,61,False,False,0,True,
timelens-8b__A_fps05_tokens32768,timelens-8b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,4,closeup,The camera shows a close-up of a player's face.,"[[19.0, 24.0], [35.0, 40.0], [49.0, 53.0], [81.0, 85.0], [97.0, 101.0], [105.0, 110.0], [111.0, 115.0], [118.0, 122.0], [125.0, 129.0], [134.0, 138.0], [140.0, 143.0], [145.0, 149.0], [150.0, 154.0], [159.0, 163.0], [165.0, 171.0], [173.0, 176.0], [180.0, 184.0], [186.0, 190.0], [192.0, 196.0], [198.0, 202.0], [204.0, 208.0]]",0,0,ok,json,21,0,49.3530825660564,16.272967311087996,33.07948227180168,0.0006133392453193665,25.676756858825684,28.244140625,32257,309,False,False,0,True,
timelens-8b__A_fps05_tokens32768,timelens-8b,A_fps05_tokens32768,success,0.5,512,32768,2048,all-json,5,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,28.063186193816364,15.513787825126201,12.549092039931566,0.00028425687924027443,25.675739288330078,28.244140625,32255,2,False,False,0,False,
timelens2-4b__B_fps1_tokens32768,timelens2-4b,B_fps1_tokens32768,success,1,512,32768,2048,all-json,1,shot,A player attempts a shot at the basket.,"[[1.0, 6.0], [7.0, 14.0], [15.0, 21.0], [23.0, 28.0], [30.0, 36.0]]",0,0,ok,json,5,0,41.34104618895799,29.38272472890094,11.957275340799242,0.001019646879285574,15.935898780822754,17.443359375,30411,58,False,False,5,False,
timelens2-4b__B_fps1_tokens32768,timelens2-4b,B_fps1_tokens32768,success,1,512,32768,2048,all-json,2,dark_shot,A player wearing a dark jersey attempts a shot at the basket.,"[[7.0, 14.0], [18.0, 21.0], [23.0, 28.0]]",0,0,ok,json,3,0,37.4850540868938,27.19958751089871,10.285104524809867,0.0003429139032959938,15.93674373626709,17.443359375,30415,36,False,False,3,False,
timelens2-4b__B_fps1_tokens32768,timelens2-4b,B_fps1_tokens32768,success,1,512,32768,2048,all-json,3,bench,Players on the bench celebrate.,"[[134.0, 137.0], [157.0, 160.0]]",0,0,ok,json,2,0,37.261684719938785,27.40884251333773,9.852486456744373,0.00033703818917274475,15.935264587402344,17.443359375,30408,29,False,False,2,False,
timelens2-4b__B_fps1_tokens32768,timelens2-4b,B_fps1_tokens32768,success,1,512,32768,2048,all-json,4,closeup,The camera shows a close-up of a player's face.,"[[40.0, 46.0], [51.0, 54.0]]",0,0,ok,json,2,0,36.82794912811369,27.176775705069304,9.650802734307945,0.0003519495949149132,15.936532020568848,17.443359375,30414,25,False,False,2,False,
timelens2-4b__B_fps1_tokens32768,timelens2-4b,B_fps1_tokens32768,success,1,512,32768,2048,all-json,5,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,34.63275226065889,26.24521113699302,8.38677399372682,0.0007472513243556023,15.93610954284668,17.443359375,30412,2,False,False,0,False,
